timestamp_iso,event_type,frame_latency_ms,fps,cursor_delta_x,cursor_delta_y,ttt_ms
2026-03-24T20:26:37.750,frame,13.456,34.41,-0.02368,0.010048,
2026-03-24T20:26:37.801,frame,47.46,32.93,-0.023756,0.010096,
2026-03-24T20:26:37.808,frame,5.536,42.09,-0.023568,0.010062,
2026-03-24T20:26:37.826,frame,10.211,42.66,-0.023695,0.01091,
2026-03-24T20:26:37.881,frame,44.722,40.36,-0.022921,0.010777,
2026-03-24T20:26:37.924,frame,44.061,38.45,-0.022164,0.010406,
2026-03-24T20:26:37.959,frame,24.85,37.82,-0.022066,0.011079,
2026-03-24T20:26:37.970,frame,5.724,42.99,-0.022186,0.011209,
2026-03-24T20:26:38.007,frame,21.616,41.37,-0.021378,0.010955,
2026-03-24T20:26:38.040,frame,20.471,40.3,-0.021262,0.011891,
2026-03-24T20:26:38.072,frame,19.604,39.43,-0.020327,0.013743,
2026-03-24T20:26:38.121,frame,36.015,37.53,-0.017767,0.014245,
2026-03-24T20:26:38.152,frame,16.178,36.98,-0.014628,0.013869,
2026-03-24T20:26:38.201,frame,33.864,35.35,-0.011426,0.012087,
2026-03-24T20:26:38.227,frame,7.189,35.57,-0.011642,0.012079,
2026-03-24T20:26:38.243,frame,7.071,38.2,-0.008837,0.013573,
2026-03-24T20:26:38.280,frame,28.042,37.08,-0.005403,0.011786,
2026-03-24T20:26:38.311,frame,27.418,36.66,-0.001264,0.00935,
2026-03-24T20:26:38.361,frame,46.359,35.0,0.002021,0.007848,
2026-03-24T20:26:38.375,frame,7.723,38.67,0.002176,0.008531,
2026-03-24T20:26:38.409,frame,26.398,37.68,0.00491,0.00653,
2026-03-24T20:26:38.440,frame,26.174,37.15,0.00752,0.004137,
